Filename,Mean Pitch (Hz),Mean F1 (Hz),Mean F2 (Hz),Mean Intensity (dB)
a_189ct4.wav,346.9305522,728.1657898,1716.335285,83.99960613
a_190ct1.wav,378.4658946,465.5861749,1760.151093,76.1425897
a_190ct2.wav,416.8021793,498.9485939,2090.077408,79.82033925
a_190ct3.wav,412.6741057,545.7445923,1984.831445,77.48094263
a_190ct4.wav,363.0454509,467.5969637,2098.760702,79.82342877
a_192ct1.wav,425.711608,849.7306117,1588.948911,79.43818603
a_192ct2.wav,444.5495231,892.9902048,1640.363068,77.97051299
a_192ct3.wav,428.0975515,852.4133623,1387.766311,79.63862053
a_192ct4.wav,428.9087312,929.7185926,1367.897418,83.53600851
a_193ct1.wav,412.1925603,602.9066357,1382.877969,76.5542216
a_193ct2.wav,431.2347084,751.4806954,1825.116613,75.37421652
a_193ct3.wav,408.1193728,620.0503214,1386.293134,78.60330628
a_193ct4.wav,391.8594342,806.272695,1729.8621,80.32628507
a_195ct1.wav,373.7265789,549.4641023,1493.234811,73.39317295
a_195ct2.wav,370.0418151,508.6586988,1509.653801,73.84653521
a_195ct3.wav,316.2410963,561.9453541,1392.26626,70.60912684
a_195ct4.wav,323.1247579,737.9592856,1775.695046,72.95259389
a_197ct1.wav,355.852692,722.6171106,1484.532932,65.05513735
a_197ct2.wav,368.5422601,834.0582982,1219.907553,74.94200103
a_197ct3.wav,345.6361799,745.5531666,1363.773249,82.79543952
a_197ct4.wav,436.5055559,890.6807851,1491.998617,68.72399759
a_202ct1.wav,362.9727789,651.0828442,1670.522064,76.61230366
a_202ct2.wav,196.9648165,652.4873188,1560.449666,76.72111063
a_202ct3.wav,364.7517655,649.732507,1344.254808,75.552437
a_202ct4.wav,363.7283885,630.4767849,1545.223252,84.22104576
a_204ct1.wav,358.1815726,681.855013,1842.443865,80.85489772
a_204ct2.wav,371.0562083,665.4317352,1591.865838,76.8874449
a_204ct3.wav,352.9569279,778.7491186,1551.391569,78.03353988
a_204ct4.wav,336.6200842,711.1632721,1630.736589,84.69131569
a_281ct1.wav,360.1852578,658.573358,1435.763016,74.49328231
a_281ct2.wav,358.3086311,406.0017106,1376.160159,74.68568142
a_281ct3.wav,350.5649876,493.1201225,1348.012338,77.04099423
a_281ct4.wav,344.3259692,634.5041002,1386.890358,75.18520803
a_283ct1.wav,365.0462474,573.3424682,1895.081505,79.99202794
a_283ct2.wav,369.8802754,396.1217792,1642.525293,78.39298331
a_283ct3.wav,354.7748317,626.4442559,1553.28853,79.57575253
a_283ct4.wav,341.5637775,800.1097316,1812.925032,83.35022801
a_284ct1.wav,369.6883793,704.801375,1538.594482,84.1687017
a_284ct2.wav,190.3581317,534.0408239,1490.470065,76.16637899
a_284ct3.wav,362.5237314,662.2519989,1446.999552,83.59502585
a_284ct4.wav,329.1348218,647.4939118,1568.020534,87.16532063
a_285ct1.wav,418.0044803,789.0295204,1603.22586,77.43597388
a_285ct2.wav,311.205394,752.1856914,1695.821579,76.37318226
a_285ct3.wav,414.8620212,837.9882975,1681.750059,72.55847384
a_285ct4.wav,407.1310802,838.2742881,1494.706927,81.27189384
a_288ct1.wav,382.7364864,518.0976696,1787.385081,80.38172458
a_288ct2.wav,416.7153165,522.023905,1720.470128,75.57412244
a_288ct3.wav,426.1139077,450.1222497,1751.578388,80.28412426
a_288ct4.wav,375.8578078,474.7785083,1837.266118,77.09326794
a_297ct1.wav,365.306958,688.9490082,1691.983543,74.39401779
a_297ct2.wav,376.8286313,506.3659248,1555.77084,75.57490091
a_297ct3.wav,350.3169264,672.6536139,1702.828444,75.15331372
a_297ct4.wav,297.608646,649.545786,1692.372967,82.03112864
a_300ct1.wav,375.4199778,595.353617,1934.002984,76.20683007
a_300ct2.wav,380.6378761,429.6772953,1868.122949,77.31841194
a_300ct3.wav,360.3419596,651.2920961,2211.930645,75.88209481
a_300ct4.wav,357.6272969,797.0173108,2168.721998,81.35507066
a_310ct1.wav,393.2804108,787.2184555,1523.469888,78.78660138
a_310ct2.wav,369.6839988,775.1435169,1311.300196,72.90109685
a_310ct3.wav,355.6614905,735.4817705,1425.193931,75.50627905
a_310ct4.wav,361.5219323,828.2631988,1495.376372,73.70182213
a_312ct1.wav,429.7004269,752.152796,1473.644591,78.28053534
a_312ct2.wav,425.9338756,658.5708009,1656.766225,73.53795206
a_312ct3.wav,408.6082257,631.7452273,1423.29462,73.97707446
a_312ct4.wav,393.9051914,698.3017253,1419.967559,78.0926113
a_315ct1.wav,395.4764645,726.0529044,1564.462353,78.08852311
a_315ct2.wav,172.0350724,621.7023301,1661.367116,73.94991569
a_315ct3.wav,317.0889157,645.7525,1537.983684,83.93366369
a_315ct4.wav,299.1703567,679.9629378,1531.50361,84.40873973
a_321ct1.wav,375.5986928,442.3896413,1654.953801,59.94653017
a_321ct2.wav,369.7838997,516.5012217,1859.80405,49.27480261
a_321ct3.wav,373.7220004,545.3555503,1782.905325,67.61144429
a_321ct4.wav,395.1010103,620.2050026,1701.852315,68.45586294
a_326ct1.wav,370.0412214,742.1433815,1468.536305,78.11297061
a_326ct2.wav,359.8916206,654.0184672,1359.932727,72.05060217
a_326ct3.wav,347.9667367,683.7487237,1400.564177,82.5828116
a_326ct4.wav,261.4893699,628.8252897,1450.578264,81.40913367
a_336ct1.wav,378.4029438,690.0239182,1445.391022,64.35616985
a_336ct2.wav,379.753031,746.6538579,1335.968242,70.70595276
a_336ct3.wav,320.9355133,702.8862079,1454.606137,63.45430204
a_336ct4.wav,399.6862418,858.1533977,1522.588198,65.71830656
a_340ct1.wav,411.0505352,649.6049017,1341.366927,76.28067696
a_340ct2.wav,399.7527688,617.9733673,1493.911839,74.8757534
a_340ct3.wav,389.1902511,621.3385724,1450.430874,78.9114305
a_340ct4.wav,375.5651028,595.185321,1514.419248,78.24263467
a_342ct1.wav,390.8776413,631.1576849,1752.748433,76.56543347
a_342ct2.wav,409.9580834,489.2276087,1937.355724,76.58096586
a_342ct3.wav,404.5610067,443.3709423,1658.484406,80.56966944
a_342ct4.wav,404.2135689,518.4362823,1860.491703,78.63304131
a_344ct1.wav,419.3973337,462.6843484,1698.363547,63.92056206
a_344ct2.wav,349.6443616,525.6598305,1790.309945,64.78841782
a_344ct3.wav,418.3342949,465.5060799,1614.448944,64.00295184
a_344ct4.wav,421.6626419,457.4467682,1658.563302,61.06282163
a_346ct1.wav,436.673834,755.408694,1566.710014,75.16688031
a_346ct2.wav,424.7976643,745.1052132,1776.035264,72.60774449
a_346ct3.wav,400.9099033,556.7819709,1384.248909,71.57737907
a_346ct4.wav,319.4511171,682.7226928,1409.170366,78.70398178
a_347ct1.wav,416.6567514,632.9679733,1397.943056,77.36005899
a_347ct2.wav,413.1588643,520.3332521,1541.222966,76.17503068
a_347ct3.wav,395.9856701,495.3661611,1366.709029,80.17012675
a_347ct4.wav,336.431355,514.8518943,1414.225787,82.4064137
a_354ct1.wav,363.8562668,427.0982948,1871.924776,74.49612771
a_354ct2.wav,363.5749775,392.3428241,1985.976021,76.77649177
a_354ct3.wav,353.8591234,456.4928369,1764.046514,79.44871189
a_354ct4.wav,333.2975705,501.3731317,1897.555908,76.46572483
a_58ct1.wav,366.4342212,744.1377709,1435.243176,78.16216965
a_58ct2.wav,354.415037,664.8919724,1414.475342,69.47600089
a_58ct3.wav,349.1645167,745.037434,1374.285362,71.7904533
a_58ct4.wav,317.1130155,817.3788406,1403.916089,74.0570298
a_69ct1.wav,368.9974255,664.0683912,1467.329574,79.80341922
a_69ct2.wav,369.0615039,462.1540604,1490.558119,76.45235413
a_69ct3.wav,349.3421296,688.7181462,1472.3271,82.00717197
a_69ct4.wav,351.5635417,752.4707437,1607.036201,84.92833312
a_71ct1.wav,369.9746247,732.7162032,1337.988189,82.37732488
