Filename,Mean Pitch (Hz),Mean F1 (Hz),Mean F2 (Hz),Mean Intensity (dB)
a_116bt4.wav,272.6096343,523.4662564,1804.52608,82.18119567
a_120bt1.wav,242.0579189,684.1819033,1544.044847,74.64630193
a_120bt2.wav,246.3875829,684.8587687,1578.081894,72.50394106
a_120bt3.wav,239.7328351,737.6862874,1427.573325,77.69458543
a_120bt4.wav,241.0666735,749.48621,1564.361306,82.77641323
a_121bt1.wav,280.3471505,563.0454789,1670.639021,70.87909987
a_121bt2.wav,275.7016313,629.8410443,1428.490096,66.60717033
a_121bt3.wav,264.9904832,476.192861,1489.854886,76.42627483
a_121bt4.wav,266.309138,529.4290594,1513.436768,75.61828685
a_122bt1.wav,283.8714403,565.3893565,1415.049868,76.14472455
a_122bt2.wav,279.0109498,626.7164312,1419.819299,68.87465617
a_122bt3.wav,284.1514065,599.5523911,1381.494636,76.1249566
a_122bt4.wav,278.3230972,552.2595989,1412.981033,79.05089045
a_123bt1.wav,249.7043604,613.6013052,1698.618381,73.14627003
a_123bt2.wav,249.9384079,639.9894899,1722.30709,69.61721586
a_123bt3.wav,249.7696227,635.8080891,1624.878006,75.71535363
a_123bt4.wav,246.5942531,668.9568377,1663.005337,80.39195472
a_132bt1.wav,235.6758133,683.0519142,1603.432206,75.61296452
a_132bt2.wav,244.4132176,733.6772244,1408.656883,71.90818251
a_132bt3.wav,236.2677269,712.4450787,1453.257713,77.85207568
a_132bt4.wav,238.0846206,776.3705648,1534.067187,83.32518316
a_134bt1.wav,267.4236244,634.6618177,1476.805899,75.98997143
a_134bt2.wav,266.3108908,638.0614215,1505.765605,69.26743531
a_134bt3.wav,263.026232,720.3535829,1659.291208,62.13195962
a_134bt4.wav,264.9908375,737.2035447,1593.330392,64.36166213
a_140bt1.wav,263.0367027,544.4162905,1800.924159,73.73950754
a_140bt2.wav,256.6504185,465.5869799,1801.600709,70.07312558
a_140bt3.wav,255.4151958,546.5246134,1657.037006,71.95633405
a_140bt4.wav,257.0674744,559.0328468,1755.54775,79.68877316
a_150bt1.wav,234.0104854,574.9772163,1696.396743,69.27442131
a_150bt2.wav,231.2715583,438.2831933,1645.892841,67.35677346
a_150bt3.wav,221.7161004,518.4982785,1486.42641,71.54789616
a_150bt4.wav,225.3246563,564.8559576,1540.154438,77.70060008
a_152bt1.wav,235.3671905,472.7806663,1801.232416,70.76490264
a_152bt2.wav,229.8960063,445.8860958,1919.711427,70.8521307
a_152bt3.wav,228.3531077,456.5818117,1541.80397,73.40346451
a_152bt4.wav,224.6272278,467.2662798,1718.228985,79.1124634
a_156bt1.wav,224.7848824,293.9887794,1553.008886,61.24873901
