Filename,Mean Pitch (Hz),Mean F1 (Hz),Mean F2 (Hz),Mean Intensity (dB)
a_144at3.wav,209.3616327,500.4469873,1123.471519,76.61155738
a_144at4.wav,213.3538306,676.6693549,1419.814549,78.88407412
a_151at1.wav,211.0938087,580.356898,1652.241349,73.08043309
a_151at2.wav,232.6333046,620.6967628,1576.759038,67.47772534
a_151at3.wav,228.1041998,659.8417467,1383.519728,76.24294258
a_151at4.wav,229.7029646,689.0971015,1420.223852,80.01708361
a_159at1.wav,182.5771154,590.272388,1507.315442,73.79180528
a_159at2.wav,202.068982,521.2403983,1490.484272,74.80406548
a_159at3.wav,200.6625847,580.1563625,1354.580767,77.72408002
a_159at4.wav,192.7640185,626.5856889,1417.054975,82.87846784
a_176at1.wav,216.1514198,393.6443902,1433.534722,73.62619782
a_176at2.wav,200.0904542,383.6975509,1477.702136,75.44817305
a_176at3.wav,197.4251876,498.9493559,1397.732495,74.41092187
a_176at4.wav,198.8924743,516.4124855,1420.596245,74.97257133
a_17at1.wav,215.0107179,519.7898746,1490.435843,75.11685932
a_17at2.wav,208.310608,401.276032,1573.690328,73.88287082
a_17at3.wav,203.6947724,597.8722521,1286.633939,72.72593452
a_17at4.wav,185.9943816,578.1792044,1524.033556,83.23019299
a_184at1.wav,203.4818159,673.5582615,1456.604824,74.02337036
a_184at2.wav,216.5286834,487.8214626,1290.504607,76.77711088
a_184at3.wav,211.9118059,608.9306323,1373.329998,79.78875249
a_184at4.wav,204.5203495,641.6633532,1353.66992,84.46658694
a_210at1.wav,205.3275677,489.1690971,1582.983791,71.63149233
a_210at2.wav,205.1375246,437.2313993,1771.692432,69.80701611
a_210at3.wav,197.8753654,456.2977745,1631.010448,74.76365808
a_210at4.wav,199.6109754,487.6924623,1747.981848,75.66487762
a_220at1.wav,210.9117646,407.4803348,1673.552563,74.58702581
a_220at2.wav,209.5201205,334.3858708,1934.713776,72.16953599
a_220at3.wav,219.6871782,430.0030508,1722.042949,76.70891412
a_220at4.wav,215.8129365,432.6187026,1920.938991,80.56514052
a_229at1.wav,217.6075353,507.9890529,1515.466846,71.67016918
a_229at2.wav,216.8431142,459.7139061,1725.625448,69.96129016
a_229at3.wav,210.3552608,413.8212002,1508.692576,74.09652896
a_229at4.wav,201.0688763,473.5495007,1511.672166,77.46645733
a_231at1.wav,168.80994,517.3691284,1586.15185,68.95908401
a_231at2.wav,163.6702998,448.6996505,1707.386707,68.09250831
a_231at3.wav,163.4075554,472.3074698,1486.872826,71.82483233
a_231at4.wav,154.5309078,476.8066704,1470.126552,78.66801305
a_232at1.wav,209.8981274,463.1171186,1622.644461,75.82314992
a_232at2.wav,209.9753332,396.7739223,1655.480022,70.96949051
a_232at3.wav,208.6880177,475.8735003,1555.284599,72.07628152
a_232at4.wav,211.0805718,443.9455331,1553.205107,77.94915169
a_233at1.wav,209.9208676,510.5294824,1790.819056,78.11767084
a_233at2.wav,205.6630388,429.8933033,1788.553623,72.45319781
